symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,fees,bars_held,exit_reason
TXT,2017-06-26,2017-06-30,45.380588101061726,46.3150883665716,7.641,7.140516528760941,0.020592511128960215,0.0,4,シグナル
FTNT,2017-06-13,2017-07-12,7.538025664901733,7.815742426681519,46.6433,12.95362623472306,0.036842108812773014,0.0,20,期間満了
LDOS,2017-06-29,2017-07-14,45.8633388363166,46.052429697996125,7.8347,1.481470174000549,0.004122919666934307,0.0,10,シグナル
ALB,2017-06-29,2017-07-14,94.7868311936789,104.51557282937559,3.785,36.82328709111192,0.10263811452687809,0.0,10,シグナル
LOW,2017-06-27,2017-07-26,64.33943055437459,63.92802713708359,5.5571,-2.2862099302278125,-0.0063942657519064265,0.0,20,期間満了
ROL,2017-07-03,2017-07-27,16.2210934865503,17.295152265738224,22.0046,23.63423381251863,0.06621370994985513,0.0,17,シグナル
KLAC,2017-06-29,2017-07-28,8.301925235796553,8.495522155820993,43.2824,8.37933933126584,0.02331952101780945,0.0,20,期間満了
MKC,2017-07-03,2017-08-01,40.823069560248065,39.88126159911905,8.7435,-8.234697908131523,-0.023070483706254887,0.0,20,期間満了
DELL,2017-07-03,2017-08-01,15.596944815311236,16.440657435796165,22.8852,19.308532062321717,0.05409473653177721,0.0,20,期間満了
TSLA,2017-07-12,2017-08-01,22.04428797454834,21.516106158447265,16.6337,-8.785617874480465,-0.0239600306760145,0.0,14,シグナル
WDC,2017-08-02,2017-08-10,59.019508955989274,54.254509880918526,6.2697,-29.875114700971096,-0.08073600000000003,0.0,6,損切り
PCG,2017-07-14,2017-08-11,65.02874528249961,67.47775097548922,5.642,13.817290119847314,0.03766035592952874,0.0,20,期間満了
EIX,2017-07-14,2017-08-11,52.549050200806064,53.83667819887654,6.9819,8.990089919728291,0.02450335435464692,0.0,20,期間満了
MRVL,2017-08-02,2017-08-18,14.95731250055741,14.669092001568956,24.3225,-7.01024308664671,-0.01926953782490768,0.0,12,シグナル
HAS,2017-07-26,2017-08-18,76.91530276356998,70.7054688796504,4.8707,-30.246237898407117,-0.08073599999999996,0.0,17,損切り
LUV,2017-07-27,2017-08-23,50.213527310790006,46.15948796982607,7.4337,-30.136512248923623,-0.08073599999999992,0.0,19,損切り
DRI,2017-08-02,2017-08-24,65.73780767022556,64.75802895137791,5.629,-5.515174408393477,-0.014904341254620637,0.0,16,シグナル
DAL,2017-08-14,2017-08-24,44.97895609549889,41.34753509617269,8.032,-29.167573466587953,-0.08073599999999981,0.0,8,損切り
TT,2017-07-28,2017-08-25,59.24903132214356,56.90587049133592,6.2754,-14.704271477650252,-0.03954766480598835,0.0,20,期間満了
KLAC,2017-08-14,2017-08-25,8.016931979536453,7.93761032132094,45.0635,-3.5745115449948344,-0.009894266088072869,0.0,9,シグナル
MPC,2017-08-24,2017-08-30,38.450207473823944,39.35875832231407,9.3714,8.514393421540376,0.023629283381855572,0.0,4,シグナル
KKR,2017-08-21,2017-09-06,16.05632749475824,16.375883714615664,22.1613,7.081781255126316,0.019902198679103044,0.0,11,シグナル
MU,2017-08-14,2017-09-12,28.125935109761112,32.826087797963055,12.8447,60.372051234147534,0.16711098386096884,0.0,20,期間満了
CMI,2017-08-28,2017-09-12,122.05698687887188,131.49695472838553,2.4998,23.598031630214223,0.07734065939938185,0.0,10,シグナル
PFG,2017-08-28,2017-09-14,44.761560203723384,44.23903681514249,8.148,-4.257520570157112,-0.01167348470881557,0.0,12,シグナル
ALLE,2017-08-25,2017-09-15,69.59599433282725,74.15137587913428,5.2043,23.7075721814457,0.06545465137723218,0.0,14,シグナル
LITE,2017-08-21,2017-09-19,51.89147847290039,59.502359237670895,6.9045,52.54932624035797,0.1466691832406584,0.0,20,期間満了
NRG,2017-09-19,2017-09-21,19.58336403003586,19.59297881577792,19.6483,0.18891419469565562,0.0004909670129866469,0.0,2,シグナル
LLY,2017-08-25,2017-09-25,69.35641494443313,73.5514327270051,5.2223,21.907641365925656,0.06048492826414023,0.0,20,期間満了
RJF,2017-08-31,2017-09-28,45.8286845874568,49.15095554395047,8.0483,26.738633339147952,0.0724932645656376,0.0,19,シグナル
AMP,2017-09-12,2017-09-28,116.07348950718531,124.48941474988159,3.2361,27.234775677889445,0.07250514547661042,0.0,12,シグナル
PGR,2017-09-07,2017-10-05,34.69002009018335,37.94226708022097,10.4616,34.02370711097757,0.09375166060967337,0.0,20,期間満了
CHTR,2017-09-21,2017-10-09,366.17270888671874,367.8055260986328,1.0489,1.7126619735767008,0.004459145021698597,0.0,12,シグナル
